center_x,center_y,left_x,left_y,right_x,right_y,left_center_x,left_center_y,right_center_x,right_center_y,road_speed,rightcenter_cur,leftcenter_cur,in_bend
424.609103134642,-240.95479545989,424.511860975017,-237.206056476926,424.706345294267,-244.703534442854,424.56048205483,-239.080425968408,424.657724214454,-242.829164951372,10.7650767781589,0,0,1
425.108934999037,-240.941829838607,425.011692839412,-237.193090855643,425.206177158662,-244.69056882157,425.060313919224,-239.067460347125,425.15755607885,-242.816199330089,10.7840652110704,0,0,1
425.608766863432,-240.928864217323,425.511524703807,-237.18012523436,425.706009023057,-244.677603200287,425.56014578362,-239.054494725841,425.657387943245,-242.803233708805,10.8030202681278,0,0,1
426.108598727827,-240.91589859604,426.011356568202,-237.167159613076,426.205840887453,-244.664637579004,426.059977648015,-239.041529104558,426.15721980764,-242.790268087522,10.8219421247086,0,0,1
426.608430592223,-240.902932974757,426.511188432598,-237.154193991793,426.705672751848,-244.65167195772,426.55980951241,-239.028563483275,426.657051672035,-242.777302466238,10.8408309546595,0,0,1
427.108262456618,-240.889967353473,427.011020296993,-237.14122837051,427.205504616243,-244.638706336437,427.059641376805,-239.015597861991,427.15688353643,-242.764336844955,10.8596869303156,0,0,1
427.608094321013,-240.87700173219,427.510852161388,-237.128262749226,427.705336480638,-244.625740715154,427.5594732412,-239.002632240708,427.656715400825,-242.751371223672,10.878510222518,0,0,1
428.107926185408,-240.864036110907,428.010684025783,-237.115297127943,428.205168345033,-244.61277509387,428.059305105596,-238.989666619425,428.156547265221,-242.738405602388,10.8973010006327,0,0,1
428.607758049803,-240.851070489623,428.510515890178,-237.10233150666,428.705000209428,-244.599809472587,428.559136969991,-238.976700998141,428.656379129616,-242.725439981105,10.9160594325679,0,0,1
429.107589914198,-240.83810486834,429.010347754573,-237.089365885376,429.204832073823,-244.586843851304,429.058968834386,-238.963735376858,429.156210994011,-242.712474359822,10.9347856847913,0,0,1
429.607421778594,-240.825139247057,429.510179618968,-237.076400264093,429.704663938219,-244.57387823002,429.558800698781,-238.950769755575,429.656042858406,-242.699508738538,10.9534799223479,0,0,1
430.107253642989,-240.812173625773,430.010011483364,-237.06343464281,430.204495802614,-244.560912608737,430.058632563176,-238.937804134291,430.155874722801,-242.686543117255,10.9721423088766,0,0,1
430.607085507384,-240.79920800449,430.509843347759,-237.050469021526,430.704327667009,-244.547946987454,430.558464427571,-238.924838513008,430.655706587196,-242.673577495972,10.9907730066271,0,0,1
431.106917371779,-240.786242383207,431.009675212154,-237.037503400243,431.204159531404,-244.53498136617,431.058296291966,-238.911872891725,431.155538451591,-242.660611874688,11.009372176476,0,0,1
